passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
1,0.0,2.5,0.0,0.0,4.3,yellow,cash,JFK Airport,JFK Airport,Queens,Queens
1,2.1,11.0,3.05,0.0,18.35,yellow,credit card,East Chelsea,East Village,Manhattan,Manhattan
2,2.0,9.5,1.62,0.0,12.42,yellow,credit card,Manhattan Valley,East Harlem South,Manhattan,Manhattan
1,0.83,5.5,0.0,0.0,9.3,yellow,cash,Clinton East,Midtown Center,Manhattan,Manhattan
1,1.79,9.5,1.0,0.0,13.8,yellow,credit card,Midtown Center,Upper East Side North,Manhattan,Manhattan
1,2.07,10.0,2.7,0.0,13.5,yellow,credit card,East Harlem South,Manhattan Valley,Manhattan,Manhattan
1,1.53,10.0,2.66,0.0,15.96,yellow,credit card,Lincoln Square West,Upper West Side North,Manhattan,Manhattan
1,10.21,37.61,0.0,0.0,38.41,yellow,credit card,East Chelsea,Marble Hill,Manhattan,Manhattan
1,10.8,36.0,11.5,5.76,57.56,yellow,credit card,LaGuardia Airport,Clinton East,Queens,Manhattan
1,3.43,14.5,3.66,0.0,21.96,yellow,credit card,Times Sq/Theatre District,East Village,Manhattan,Manhattan
3,0.57,6.0,0.0,0.0,9.8,yellow,cash,East Village,East Village,Manhattan,Manhattan
1,0.9,5.5,0.0,0.0,9.8,yellow,cash,Lincoln Square West,Lincoln Square East,Manhattan,Manhattan
1,0.6,4.0,0.0,0.0,7.3,yellow,cash,Kips Bay,Murray Hill,Manhattan,Manhattan
1,1.06,6.0,2.94,0.0,12.74,yellow,credit card,East Chelsea,Clinton East,Manhattan,Manhattan
5,1.56,10.0,1.0,0.0,14.3,yellow,credit card,Union Sq,Midtown Center,Manhattan,Manhattan
1,0.9,8.5,2.5,0.0,15.3,yellow,credit card,Gramercy,Union Sq,Manhattan,Manhattan
1,1.7,9.0,0.0,0.0,12.3,yellow,cash,Lincoln Square West,Upper West Side North,Manhattan,Manhattan
1,0.55,4.5,1.56,0.0,9.36,yellow,credit card,Yorkville East,Yorkville West,Manhattan,Manhattan
4,3.0,14.0,3.65,0.0,21.95,yellow,credit card,Clinton West,Greenwich Village North,Manhattan,Manhattan
6,6.4,23.0,5.26,0.0,31.56,yellow,credit card,Yorkville West,Greenwich Village South,Manhattan,Manhattan
2,4.14,16.0,3.86,0.0,23.16,yellow,credit card,Yorkville East,Kips Bay,Manhattan,Manhattan
1,1.1,6.0,0.0,0.0,9.3,yellow,cash,Clinton East,Central Park,Manhattan,Manhattan
1,2.61,14.0,2.67,0.0,20.47,yellow,credit card,Sutton Place/Turtle Bay North,Lower East Side,Manhattan,Manhattan
1,1.18,6.5,0.0,0.0,9.8,yellow,cash,Union Sq,East Village,Manhattan,Manhattan
1,3.2,12.5,2.0,0.0,17.8,yellow,credit card,UN/Turtle Bay South,East Village,Manhattan,Manhattan
1,2.8,10.5,2.85,0.0,17.15,yellow,credit card,East Chelsea,Lincoln Square West,Manhattan,Manhattan
2,5.09,19.0,5.58,0.0,27.88,yellow,credit card,Financial District North,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
1,1.16,8.0,2.26,0.0,13.56,yellow,credit card,Flatiron,Greenwich Village North,Manhattan,Manhattan
3,2.77,11.0,3.7,0.0,18.5,yellow,credit card,East Chelsea,Seaport,Manhattan,Manhattan
1,1.72,7.5,0.0,0.0,8.3,yellow,cash,Manhattan Valley,East Harlem South,Manhattan,Manhattan
1,3.5,13.5,0.0,0.0,16.8,yellow,cash,Lenox Hill East,Manhattan Valley,Manhattan,Manhattan
3,6.71,34.0,7.46,0.0,44.76,yellow,credit card,Times Sq/Theatre District,Williamsburg (North Side),Manhattan,Brooklyn
1,2.2,8.5,2.45,0.0,14.75,yellow,credit card,Lenox Hill West,Garment District,Manhattan,Manhattan
1,2.0,10.0,0.0,0.0,14.3,yellow,cash,Clinton East,Gramercy,Manhattan,Manhattan
2,2.7,14.5,0.0,0.0,18.8,yellow,cash,Murray Hill,Upper East Side North,Manhattan,Manhattan
1,1.03,6.0,1.46,0.0,8.76,yellow,credit card,DUMBO/Vinegar Hill,Brooklyn Heights,Brooklyn,Brooklyn
1,0.9,9.5,2.0,0.0,15.8,yellow,credit card,Lenox Hill West,Yorkville East,Manhattan,Manhattan
5,10.18,29.5,0.06,5.76,38.62,yellow,credit card,LaGuardia Airport,Midtown East,Queens,Manhattan
3,0.92,5.5,0.0,0.0,8.8,yellow,cash,Clinton East,Midtown North,Manhattan,Manhattan
1,2.0,9.5,1.0,0.0,14.8,yellow,credit card,Central Park,Upper East Side North,Manhattan,Manhattan
1,1.43,8.5,2.36,0.0,14.16,yellow,credit card,Central Park,Upper West Side North,Manhattan,Manhattan
3,0.74,4.5,1.95,0.0,9.75,yellow,credit card,Times Sq/Theatre District,Garment District,Manhattan,Manhattan
2,17.1,52.0,13.1,5.76,78.66,yellow,credit card,Midtown South,JFK Airport,Manhattan,Queens
1,1.2,5.5,1.0,0.0,10.3,yellow,credit card,Garment District,Garment District,Manhattan,Manhattan
2,1.8,11.0,1.0,0.0,15.3,yellow,credit card,East Village,West Village,Manhattan,Manhattan
1,2.13,12.0,0.0,0.0,15.8,yellow,cash,Meatpacking/West Village West,East Village,Manhattan,Manhattan
1,1.4,11.0,2.85,0.0,17.15,yellow,credit card,Gramercy,Flatiron,Manhattan,Manhattan
1,0.6,5.5,0.0,0.0,8.8,yellow,cash,Upper East Side North,Yorkville West,Manhattan,Manhattan
2,1.56,9.5,0.0,0.0,13.3,yellow,cash,Midtown Center,Murray Hill,Manhattan,Manhattan
6,0.95,6.0,2.32,0.0,11.62,yellow,credit card,Lincoln Square East,Clinton East,Manhattan,Manhattan
2,0.56,4.0,1.56,0.0,9.36,yellow,credit card,Times Sq/Theatre District,Midtown Center,Manhattan,Manhattan
1,1.0,6.5,0.0,0.0,10.8,yellow,cash,Little Italy/NoLiTa,Greenwich Village North,Manhattan,Manhattan
1,1.24,8.0,0.0,0.0,11.3,yellow,cash,Upper West Side South,Upper East Side North,Manhattan,Manhattan
6,2.16,9.5,3.32,0.0,16.62,yellow,credit card,Midtown East,East Village,Manhattan,Manhattan
1,9.97,28.5,0.0,0.0,29.8,yellow,credit card,Mott Haven/Port Morris,Riverdale/North Riverdale/Fieldston,Bronx,Bronx
1,1.1,5.5,1.86,0.0,11.16,yellow,credit card,Clinton East,Clinton East,Manhattan,Manhattan
1,0.44,3.5,1.11,0.0,8.91,yellow,credit card,East Village,Gramercy,Manhattan,Manhattan
1,5.19,17.5,4.0,0.0,25.8,yellow,credit card,Financial District North,Murray Hill,Manhattan,Manhattan
0,3.5,14.5,0.0,0.0,15.3,yellow,cash,Manhattan Valley,Washington Heights South,Manhattan,Manhattan
1,0.84,6.0,0.0,0.0,9.3,yellow,cash,Upper West Side South,Lincoln Square West,Manhattan,Manhattan
5,0.93,5.5,1.86,0.0,11.16,yellow,credit card,East Village,Lower East Side,Manhattan,Manhattan
2,0.71,6.0,0.0,0.0,9.3,yellow,cash,Midtown East,Murray Hill,Manhattan,Manhattan
1,6.08,24.0,0.0,0.0,27.8,yellow,cash,Midtown South,Steinway,Manhattan,Queens
1,1.09,6.0,1.96,0.0,11.76,yellow,credit card,East Village,Gramercy,Manhattan,Manhattan
1,1.9,10.5,0.0,0.0,13.8,yellow,cash,Sutton Place/Turtle Bay North,Midtown South,Manhattan,Manhattan
1,1.8,11.5,0.0,0.0,14.8,yellow,cash,Penn Station/Madison Sq West,Lincoln Square West,Manhattan,Manhattan
1,1.5,6.5,2.7,0.0,13.5,yellow,credit card,Midtown East,Yorkville West,Manhattan,Manhattan
2,2.17,10.0,0.0,0.0,13.8,yellow,cash,Little Italy/NoLiTa,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
1,18.41,52.0,0.02,5.76,61.08,yellow,credit card,JFK Airport,Midtown Center,Queens,Manhattan
4,2.0,10.0,2.75,0.0,16.55,yellow,credit card,East Village,East Chelsea,Manhattan,Manhattan
1,1.2,6.5,1.95,0.0,11.75,yellow,credit card,Hudson Sq,Greenwich Village North,Manhattan,Manhattan
1,1.46,6.5,1.96,0.0,11.76,yellow,credit card,Sutton Place/Turtle Bay North,Lenox Hill East,Manhattan,Manhattan
1,14.1,39.5,6.0,0.0,46.3,yellow,credit card,JFK Airport,Astoria,Queens,Queens
1,14.3,40.0,0.0,0.0,41.3,yellow,cash,JFK Airport,Sheepshead Bay,Queens,Brooklyn
1,0.66,4.5,0.0,0.0,7.8,yellow,cash,Garment District,Murray Hill,Manhattan,Manhattan
1,3.13,11.5,3.16,0.0,18.96,yellow,credit card,Lenox Hill East,East Harlem South,Manhattan,Manhattan
1,6.5,23.5,0.0,5.76,32.56,yellow,cash,Times Sq/Theatre District,Williamsburg (North Side),Manhattan,Brooklyn
1,1.3,6.5,2.45,0.0,12.25,yellow,credit card,Penn Station/Madison Sq West,Clinton West,Manhattan,Manhattan
1,0.2,3.0,0.0,0.0,7.3,yellow,cash,Greenwich Village North,Greenwich Village North,Manhattan,Manhattan
1,1.8,11.0,0.0,0.0,14.3,yellow,cash,West Chelsea/Hudson Yards,Times Sq/Theatre District,Manhattan,Manhattan
1,1.4,8.5,2.35,0.0,14.15,yellow,credit card,Upper East Side South,Upper East Side North,Manhattan,Manhattan
1,1.1,9.0,0.0,0.0,12.3,yellow,cash,Sutton Place/Turtle Bay North,Times Sq/Theatre District,Manhattan,Manhattan
1,0.88,6.0,0.0,0.0,9.8,yellow,cash,Upper East Side South,Midtown Center,Manhattan,Manhattan
1,2.3,11.5,3.8,0.0,19.1,yellow,credit card,Times Sq/Theatre District,Upper West Side South,Manhattan,Manhattan
3,1.21,7.5,0.0,0.0,11.8,yellow,cash,Clinton West,Clinton East,Manhattan,Manhattan
5,0.47,3.5,0.0,0.0,6.8,yellow,credit card,Lenox Hill West,Yorkville West,Manhattan,Manhattan
1,1.6,8.5,2.35,0.0,14.15,yellow,credit card,Little Italy/NoLiTa,Flatiron,Manhattan,Manhattan
1,1.5,7.0,4.0,0.0,15.3,yellow,credit card,Manhattan Valley,Lincoln Square East,Manhattan,Manhattan
1,0.4,4.5,0.0,0.0,8.8,yellow,cash,Upper West Side South,Upper West Side North,Manhattan,Manhattan
1,1.1,7.5,1.0,0.0,12.3,yellow,credit card,SoHo,Lower East Side,Manhattan,Manhattan
1,2.27,9.5,0.0,0.0,12.8,yellow,cash,Gramercy,Midtown Center,Manhattan,Manhattan
1,0.6,4.5,0.0,0.0,8.3,yellow,credit card,Greenwich Village South,Greenwich Village North,Manhattan,Manhattan
1,0.9,7.0,2.16,0.0,12.96,yellow,credit card,Midtown Center,Penn Station/Madison Sq West,Manhattan,Manhattan
1,0.3,4.0,3.0,0.0,10.3,yellow,credit card,Greenwich Village South,East Village,Manhattan,Manhattan
1,2.75,12.5,0.0,0.0,13.8,yellow,cash,Stuyvesant Heights,Crown Heights North,Brooklyn,Brooklyn
1,0.6,4.5,1.06,0.0,6.36,yellow,credit card,Morningside Heights,Manhattan Valley,Manhattan,Manhattan
2,3.6,14.5,3.65,0.0,21.95,yellow,credit card,Sutton Place/Turtle Bay North,TriBeCa/Civic Center,Manhattan,Manhattan
6,1.16,6.0,0.0,0.0,9.8,yellow,cash,Upper West Side South,Upper West Side North,Manhattan,Manhattan
1,15.01,46.5,0.0,5.76,53.06,yellow,credit card,Lenox Hill East,Midwood,Manhattan,Brooklyn
1,1.4,7.0,2.25,0.0,13.55,yellow,credit card,Kips Bay,Alphabet City,Manhattan,Manhattan
2,3.69,16.0,0.0,0.0,19.8,yellow,cash,Lower East Side,Times Sq/Theatre District,Manhattan,Manhattan
1,8.81,27.5,7.31,5.76,43.87,yellow,credit card,LaGuardia Airport,Lenox Hill East,Queens,Manhattan
1,0.84,6.0,2.0,0.0,11.8,yellow,credit card,Upper East Side South,Sutton Place/Turtle Bay North,Manhattan,Manhattan
1,9.61,27.5,5.56,5.76,42.62,yellow,credit card,LaGuardia Airport,Lenox Hill East,Queens,Manhattan
1,0.4,4.0,0.0,0.0,7.8,yellow,cash,Upper East Side South,Lenox Hill East,Manhattan,Manhattan
2,12.07,48.5,11.51,5.76,69.07,yellow,credit card,Manhattan Valley,Boerum Hill,Manhattan,Brooklyn
1,1.31,7.5,0.0,0.0,11.3,yellow,cash,Garment District,Midtown East,Manhattan,Manhattan
1,3.79,19.5,4.56,0.0,29.31,yellow,credit card,Midtown Center,Lenox Hill East,Manhattan,Manhattan
1,9.9,28.0,7.51,5.76,45.07,yellow,credit card,LaGuardia Airport,Upper East Side South,Queens,Manhattan
1,1.86,8.0,2.36,0.0,14.16,yellow,credit card,Times Sq/Theatre District,Union Sq,Manhattan,Manhattan
2,0.66,7.0,1.94,0.0,12.74,yellow,credit card,East Village,East Village,Manhattan,Manhattan
1,0.62,7.5,2.16,0.0,12.96,yellow,credit card,Midtown Center,Midtown Center,Manhattan,Manhattan
1,0.7,4.5,0.0,0.0,7.8,yellow,cash,Yorkville West,Yorkville West,Manhattan,Manhattan
1,1.09,6.0,1.96,0.0,11.76,yellow,credit card,Penn Station/Madison Sq West,Midtown Center,Manhattan,Manhattan
1,1.1,6.5,1.54,0.0,11.84,yellow,credit card,Gramercy,West Village,Manhattan,Manhattan
1,4.82,19.5,4.66,0.0,27.96,yellow,credit card,Union Sq,Financial District South,Manhattan,Manhattan
1,3.3,15.5,2.96,0.0,22.76,yellow,credit card,Upper East Side South,Gramercy,Manhattan,Manhattan
1,1.0,8.5,0.0,0.0,11.8,yellow,cash,Clinton East,Garment District,Manhattan,Manhattan
1,1.5,6.5,2.55,0.0,12.85,yellow,credit card,SoHo,Flatiron,Manhattan,Manhattan
2,1.0,7.5,2.15,0.0,12.95,yellow,credit card,Midtown South,Midtown North,Manhattan,Manhattan
1,10.1,32.0,5.5,5.76,47.06,yellow,credit card,LaGuardia Airport,Times Sq/Theatre District,Queens,Manhattan
